============================================================
Starting command at Sat May  2 15:15:18 IST 2026
Command: /Users/sd/Desktop/recomart_pipeline/.venv/bin/python preparation/run_preparation.py
============================================================
2026-05-02 15:15:19,499 | INFO | recomart_preparation | Starting RecoMart data preparation pipeline
2026-05-02 15:15:20,073 | INFO | recomart_preparation | Executing SQL file: sql/preparation/00_add_preparation_objects.sql
2026-05-02 15:15:20,211 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,336 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,497 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,606 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,708 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,860 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:20,977 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,080 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,210 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,328 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,436 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,552 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,678 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,779 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,893 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:21,893 | INFO | recomart_preparation | Executing SQL file: sql/preparation/01_prepare_clean_datasets.sql
2026-05-02 15:15:22,003 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:22,119 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:22,532 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:22,660 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:22,767 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:23,140 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:23,414 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:23,758 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:24,017 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:26,421 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:50,488 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:51,205 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:51,922 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:51,923 | INFO | recomart_preparation | Executing SQL file: sql/preparation/02_create_user_item_interactions.sql
2026-05-02 15:15:52,034 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:52,144 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:52,536 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:52,666 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:52,890 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,072 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,072 | INFO | recomart_preparation | Executing SQL file: sql/preparation/03_create_user_item_features.sql
2026-05-02 15:15:54,186 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,298 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,443 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,556 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:54,891 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:55,301 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:55,813 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:57,145 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:15:58,433 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:16:02,847 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:16:02,847 | INFO | recomart_preparation | RecoMart data preparation completed successfully
2026-05-02 15:16:03,020 | INFO | recomart_preparation | Snowflake connection closed
============================================================
Finished command at Sat May  2 15:16:03 IST 2026 with exit code 0
============================================================
============================================================
Starting command at Sat May  2 15:45:11 IST 2026
Command: /Users/sd/Desktop/recomart_pipeline/.venv/bin/python preparation/run_preparation.py
============================================================
2026-05-02 15:45:11,828 | INFO | recomart_preparation | Starting RecoMart data preparation pipeline
2026-05-02 15:45:12,446 | INFO | recomart_preparation | Executing SQL file: sql/preparation/00_add_preparation_objects.sql
2026-05-02 15:45:12,608 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:12,726 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:12,854 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:12,959 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,080 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,192 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,331 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,462 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,574 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,691 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,797 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:13,920 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:14,068 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:14,191 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:14,711 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:14,712 | INFO | recomart_preparation | Executing SQL file: sql/preparation/01_prepare_clean_datasets.sql
2026-05-02 15:45:14,823 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:14,926 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,191 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,316 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,418 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,604 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,793 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:15,971 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:16,269 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:18,509 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:43,580 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:44,289 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:44,905 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:44,905 | INFO | recomart_preparation | Executing SQL file: sql/preparation/02_create_user_item_interactions.sql
2026-05-02 15:45:45,010 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:45,117 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:45,392 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:45,519 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:45,708 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:46,664 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:46,665 | INFO | recomart_preparation | Executing SQL file: sql/preparation/03_create_user_item_features.sql
2026-05-02 15:45:46,771 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:46,878 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:47,083 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:47,208 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:47,498 | INFO | recomart_preparation | Statement executed successfully
2026-05-02 15:45:47,862 | INFO | recomart_preparation | Statement executed successfully
