2026-04-30 16:29:25,700 | INFO | recomart_preparation | Starting RecoMart data preparation pipeline
2026-04-30 16:29:27,385 | INFO | recomart_preparation | Executing SQL file: sql/preparation/00_add_preparation_objects.sql
2026-04-30 16:29:27,543 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:27,662 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:27,938 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:28,192 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:28,442 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:28,703 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:28,877 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,038 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,209 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,411 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,572 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,714 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:29,869 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,050 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,231 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,232 | INFO | recomart_preparation | Executing SQL file: sql/preparation/01_prepare_clean_datasets.sql
2026-04-30 16:29:30,362 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,490 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,639 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,783 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:30,910 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:31,164 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:31,706 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:32,002 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:32,229 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:34,589 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:55,871 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:56,272 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:56,869 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:56,870 | INFO | recomart_preparation | Executing SQL file: sql/preparation/02_create_user_item_interactions.sql
2026-04-30 16:29:56,989 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:57,093 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:57,300 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:57,433 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:29:57,656 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:00,490 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:00,491 | INFO | recomart_preparation | Executing SQL file: sql/preparation/03_create_user_item_features.sql
2026-04-30 16:30:00,607 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:00,720 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:00,902 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:01,023 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:02,979 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:03,212 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:04,095 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:10,389 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:11,463 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:13,418 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 16:30:13,418 | INFO | recomart_preparation | RecoMart data preparation completed successfully
2026-04-30 16:30:13,611 | INFO | recomart_preparation | Snowflake connection closed
2026-04-30 17:35:55,118 | INFO | recomart_preparation | Starting RecoMart data preparation pipeline
2026-04-30 17:35:56,959 | INFO | recomart_preparation | Executing SQL file: sql/preparation/00_add_preparation_objects.sql
2026-04-30 17:35:57,083 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:35:57,216 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:35:57,349 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:35:57,473 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:35:57,588 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:35:57,703 | INFO | recomart_preparation | Statement executed successfully
