user_id,item_id,rank_position,recommendation_score
155,312728,1,0.0014199702734151321
155,98071,2,0.0011163491420522623
155,405380,3,0.0009482200955535149
155,315543,4,0.0008950812235098046
155,294676,5,0.0006360962563828249
155,89323,6,0.0005538403937927879
155,420960,7,0.0005304962622389661
155,370395,8,0.0005200109275016627
155,166306,9,0.0005104351241190729
155,46156,10,0.0005071011455153691
172,9877,1,0.4906507016958373
172,78265,2,0.41022060853066966
172,48030,3,0.4048937384458024
172,445351,4,0.3799853042456614
172,37029,5,0.34203885971710585
172,439963,6,0.33895499737805795
172,210002,7,0.3150047096618766
172,119736,8,0.3138141259039815
172,213834,9,0.3018954982809171
172,409804,10,0.2565030392719895
420,5675,1,0.021510264318123605
420,17478,2,0.015655903044122427
420,48030,3,0.014618562061694478
420,436115,4,0.013578708859677385
420,4001,5,0.012819582875289521
420,307201,6,0.011800294460635132
420,217278,7,0.011457231297409144
420,466614,8,0.010985018066106626
420,303828,9,0.010796555851469145
420,37068,10,0.009216299111133062
1014,48030,1,0.0030846955645030443
1014,147684,2,0.0026672454588381298
1014,5675,3,0.0024376526868400247
1014,349318,4,0.001943126342237917
1014,149382,5,0.0018626971804496849
1014,428891,6,0.001833382388213162
1014,436115,7,0.001793667955023637
1014,162139,8,0.0015914288534915246
1014,161623,9,0.0015447172758393298
1014,342530,10,0.0015355653606608512
1722,312728,1,5.057104320164656
1722,315543,2,1.9392820859656221
1722,98071,3,1.781488703987212
1722,2716,4,1.7265904587025362
1722,256146,5,1.6902356303686368
1722,135446,6,1.6165574340369908
1722,445351,7,1.5741278334949758
1722,355994,8,1.4550485466511305
1722,232172,9,1.1976025388877969
1722,38965,10,1.1808327076136613
1879,38965,1,0.4039961300707489
1879,241555,2,0.27862071529647164
1879,283115,3,0.24953043839320596
1879,119736,4,0.24123811146004176
1879,9877,5,0.22343827863562812
1879,252319,6,0.16995842948432588
1879,215051,7,0.14887678081239641
1879,409804,8,0.1317934802681227
1879,37115,9,0.12162499713125703
1879,147684,10,0.11644416632883667
2019,409804,1,0.07034324630298441
2019,312728,2,0.054820008266352256
2019,315543,3,0.05026548256315521
2019,65021,4,0.03760727161406486
2019,439963,5,0.035891882554439605
2019,213834,6,0.03550530429977164
2019,282385,7,0.03319287090790759
2019,98071,8,0.031504704672379744
2019,252344,9,0.03108068451521849
2019,46156,10,0.0308106809880601
2194,78265,1,0.1074537656441718
2194,9877,2,0.10062943685831999
2194,119736,3,0.09709357994876841
2194,48030,4,0.06703594405571307
2194,384302,5,0.0628296670994807
2194,464731,6,0.0599587497898647
2194,190000,7,0.058335632925315545
2194,210002,8,0.05789062930821268
2194,228644,9,0.05623862349298307
2194,248455,10,0.05486499547361216
2432,431417,1,0.16961318682156118
2432,184011,2,0.14655441938356473
2432,374855,3,0.14480591001107823
2432,339822,4,0.13957525078292607
2432,130771,5,0.0977003730195227
2432,268049,6,0.043847879180204094
2432,405934,7,0.0035282564031496795
2432,398115,8,0.0035214794351922864
2432,462188,9,0.0026680303184149798
2432,369447,10,0.002656689499028443
3104,445351,1,0.011217365380554086
3104,355994,2,0.007889550198593076
3104,65273,3,0.006623648670690083
3104,37029,4,0.006490280976663289
3104,60682,5,0.005264167558526699
3104,380993,6,0.005011074306906381
3104,168927,7,0.003979609436903091
3104,213834,8,0.0038253167760716085
3104,38965,9,0.003544902190486412
3104,223355,10,0.0034961708099949295
3258,37254,1,0.10938547762793524
3258,198209,2,0.08372289624742302
3258,374092,3,0.07039514709801657
3258,369158,4,0.07018429478678326
3258,9877,5,0.06967062559363542
3258,65580,6,0.06451750159750602
3258,14932,7,0.06107595875148106
3258,206925,8,0.06089775601529891
3258,143418,9,0.06019247021817111
3258,344071,10,0.060135506017856034
3905,98071,1,1.2432591922800934e-19
3905,462188,2,7.526377480774209e-20
3905,2716,3,4.596613904359533e-20
3905,256146,4,4.2554071298057656e-20
3905,232568,5,3.791593803743291e-20
