LOG_FILE,STATUS,SIZE_BYTES,LAST_MODIFIED
logs/airflow/recomart_airflow_dag_success.log,MISSING,0,
logs/airflow/01_check_environment.log,SUCCESS,1336,2026-05-02T15:38:26.935980
logs/airflow/02_ingestion_and_raw_load.log,SUCCESS,16128,2026-05-02T15:42:28.972790
logs/airflow/04_validation.log,MISSING,0,
logs/airflow/05_preparation.log,MISSING,0,
logs/airflow/06_feature_engineering.log,MISSING,0,
logs/airflow/07_feature_store.log,MISSING,0,
logs/airflow/08_lineage.log,MISSING,0,
logs/airflow/09_model_training.log,MISSING,0,
logs/airflow/10_final_health_check.log,CHECK_LOG,1478,2026-05-02T15:18:58.965622
