ITEM_ID,TOTAL_VIEWS,TOTAL_ADD_TO_CARTS,TOTAL_TRANSACTIONS,ITEM_POPULARITY_SCORE,CONVERSION_RATE
461686,2538,304,133,4115.0,0.052403
461686,2538,304,133,4115.0,0.052403
461686,2538,304,133,4115.0,0.052403
187946,3410,2,0,3416.0,0.0
187946,3410,2,0,3416.0,0.0
187946,3410,2,0,3416.0,0.0
5411,2325,9,0,2352.0,0.0
5411,2325,9,0,2352.0,0.0
5411,2325,9,0,2352.0,0.0
219512,1740,48,12,1944.0,0.006897
219512,1740,48,12,1944.0,0.006897
219512,1740,48,12,1944.0,0.006897
257040,1531,89,27,1933.0,0.017636
257040,1531,89,27,1933.0,0.017636
257040,1531,89,27,1933.0,0.017636
320130,1333,141,33,1921.0,0.024756
320130,1333,141,33,1921.0,0.024756
320130,1333,141,33,1921.0,0.024756
7943,1346,97,46,1867.0,0.034175
7943,1346,97,46,1867.0,0.034175
